Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL
Spykar,Spykar Blue Cotton Regular Fit Camouflage Shirt,₹1199.00,₹2399.00,0,0,https://www.tatacliq.com/spykar-blue-cotton-regular-fit-camouflage-shirt/p-mp000000013801961
Jack & Jones,Jack & Jones Blue Cotton Regular Fit Printed Shirt,₹1119.00,₹2799.00,0,0,https://www.tatacliq.com/jack-jones-blue-cotton-regular-fit-printed-shirt/p-mp000000016488785
Duke,Duke Brown Regular Fit Printed Shirt,₹650.00,₹1445.00,4.33,3,https://www.tatacliq.com/duke-brown-regular-fit-printed-shirt/p-mp000000004727550
celio*,celio* Brown Slim Fit Printed Shirt,₹1124.00,₹2499.00,0,0,https://www.tatacliq.com/celio-brown-slim-fit-printed-shirt/p-mp000000009350330
Jainish,Jainish Brown Regular Fit Shirt,₹590.00,₹1499.00,0,0,https://www.tatacliq.com/jainish-brown-regular-fit-shirt/p-mp000000015646676
Spykar,Spykar Grey Cotton Slim Fit Shirt,₹1149.00,₹2299.00,0,0,https://www.tatacliq.com/spykar-grey-cotton-slim-fit-shirt/p-mp000000013802116
Dragon Hill,Dragon Hill Light Pink Slim Fit Shirt,₹1699.00,₹1699.00,0,0,https://www.tatacliq.com/dragon-hill-light-pink-slim-fit-shirt/p-mp000000015462618
celio*,celio* Maroon Regular Fit Striped Shirt,₹1264.00,₹2299.00,5.0,1,https://www.tatacliq.com/celio-maroon-regular-fit-striped-shirt/p-mp000000009350369
Hangup,Hang Up Multi Cotton Slim Fit Printed Shirt,₹706.00,₹1999.00,0,0,https://www.tatacliq.com/hang-up-multi-cotton-slim-fit-printed-shirt/p-mp000000008805097
Dragon Hill,Dragon Hill Navy Slim Fit Check Shirt,₹720.00,₹1799.00,0,0,https://www.tatacliq.com/dragon-hill-navy-slim-fit-check-shirt/p-mp000000015462665
Pepe Jeans,Pepe Jeans Red Cotton Regular Fit Checks Shirts,₹1499.00,₹2999.00,0,0,https://www.tatacliq.com/pepe-jeans-red-cotton-regular-fit-checks-shirts/p-mp000000015284414
Duke,Duke White Regular Fit Printed Shirt,₹675.00,₹1499.00,0,0,https://www.tatacliq.com/duke-white-regular-fit-printed-shirt/p-mp000000004727267
Pepe Jeans,Pepe Jeans White Cotton Regular Fit Printed Shirts,₹1699.00,₹2599.00,0,0,https://www.tatacliq.com/pepe-jeans-white-cotton-regular-fit-printed-shirts/p-mp000000015284470
Mufti,Mufti Blue Slim Fit Textured Cotton Linen Shirt,₹1176.00,₹2399.00,0,0,https://www.tatacliq.com/mufti-blue-slim-fit-textured-cotton-linen-shirt/p-mp000000019461663
U.S. Polo Assn.,U.S. Polo Assn. Denim Co. Burgundy Cotton Slim Fit Checks Shirt,₹2499.00,₹2499.00,0,0,https://www.tatacliq.com/u-s-polo-assn-denim-co-burgundy-cotton-slim-fit-checks-shirt/p-mp000000019228811
U.S. Polo Assn.,U.S. Polo Assn. Denim Co. Dark Green Linen Regular Fit Shirt,₹2999.00,₹2999.00,0,0,https://www.tatacliq.com/u-s-polo-assn-denim-co-dark-green-linen-regular-fit-shirt/p-mp000000019228096
ANDAMEN,ANDAMEN Green & White Regular Fit Striped Shirt,₹4590.00,₹4590.00,0,0,https://www.tatacliq.com/andamen-green-white-regular-fit-striped-shirt/p-mp000000019055671
ANDAMEN,ANDAMEN Green Slim Fit Check Shirt,₹4590.00,₹4590.00,0,0,https://www.tatacliq.com/andamen-green-slim-fit-check-shirt/p-mp000000019055802
Lee,Lee Multicolor Slim Fit Striped Shirt,₹1199.00,₹2399.00,2.0,1,https://www.tatacliq.com/lee-multicolor-slim-fit-striped-shirt/p-mp000000017625425
SHOWOFF,SHOWOFF Navy Blue Slim Fit Printed Co-Ord Set,₹1200.00,₹3000.00,0,0,https://www.tatacliq.com/showoff-navy-blue-slim-fit-printed-co-ord-set/p-mp000000019828785
ETA,ETA by Westside Off White Printed Resort Fit Zipper Hoodie Shirt,₹1299.00,₹1299.00,4.5,2,https://www.tatacliq.com/eta-by-westside-off-white-printed-resort-fit-zipper-hoodie-shirt/p-mp000000019486434
Mufti,Mufti Peach Slim Fit Cotton Linen Shirt,₹1176.00,₹2399.00,0,0,https://www.tatacliq.com/mufti-peach-slim-fit-cotton-linen-shirt/p-mp000000019462853
Parx,Parx Red Cotton Slim Fit Checks Shirt,₹1099.00,₹1999.00,0,0,https://www.tatacliq.com/parx-red-cotton-slim-fit-checks-shirt/p-mp000000019129829
Allen Solly,Allen Solly White Cotton Slim Fit Printed Shirt,₹2174.00,₹2499.00,0,0,https://www.tatacliq.com/allen-solly-white-cotton-slim-fit-printed-shirt/p-mp000000018940619
Crimsoune Club,Crimsoune Club White Cotton Slim Fit Self Pattern Shirt,₹1359.00,₹1699.00,0,0,https://www.tatacliq.com/crimsoune-club-white-cotton-slim-fit-self-pattern-shirt/p-mp000000019082310
SHOWOFF,SHOWOFF White Slim Fit Printed Co-Ord Set,₹1200.00,₹3000.00,0,0,https://www.tatacliq.com/showoff-white-slim-fit-printed-co-ord-set/p-mp000000019828833
Parx,Parx Yellow Cotton Slim Fit Striped Shirt,₹1044.00,₹1899.00,0,0,https://www.tatacliq.com/parx-yellow-cotton-slim-fit-striped-shirt/p-mp000000019128832
The Bear House,The Bear House Blue Slim Fit Striped Shirt,₹1497.00,₹2495.00,0,0,https://www.tatacliq.com/the-bear-house-blue-slim-fit-striped-shirt/p-mp000000017819904
ETA,ETA by Westside Blue Floral Printed Resort Fit - Shirt,₹999.00,₹999.00,0,0,https://www.tatacliq.com/eta-by-westside-blue-floral-printed-resort-fit--shirt/p-mp000000018226218
Campus Sutra,Campus Sutra Blue Regular Fit Printed Shirt,₹799.00,₹1899.00,0,0,https://www.tatacliq.com/campus-sutra-blue-regular-fit-printed-shirt/p-mp000000018269806
Crimsoune Club,Crimsoune Club Blue Slim Fit Printed Cotton Shirt,₹1439.00,₹1799.00,0,0,https://www.tatacliq.com/crimsoune-club-blue-slim-fit-printed-cotton-shirt/p-mp000000018899246
ETA,ETA by Westside Brown Striped Resort Fit - Shirt,₹1299.00,₹1299.00,0,0,https://www.tatacliq.com/eta-by-westside-brown-striped-resort-fit--shirt/p-mp000000018224486
The Bear House,The Bear House Light Blue Slim Fit Striped Shirt,₹1497.00,₹2495.00,0,0,https://www.tatacliq.com/the-bear-house-light-blue-slim-fit-striped-shirt/p-mp000000017819976
WES Casuals,WES Casuals by Westside Light Sage Checked Slim Fit Shirt,₹1299.00,₹1299.00,0,0,https://www.tatacliq.com/wes-casuals-by-westside-light-sage-checked-slim-fit-shirt/p-mp000000017974458
WES Casuals,WES Casuals by Westside Navy Leaf Printed Slim Fit Shirt,₹1299.00,₹1299.00,0,0,https://www.tatacliq.com/wes-casuals-by-westside-navy-leaf-printed-slim-fit-shirt/p-mp000000017974857
Allen Solly,Allen Solly Jeans Navy Regular Fit Striped Shirt,₹2174.00,₹2499.00,0,0,https://www.tatacliq.com/allen-solly-jeans-navy-regular-fit-striped-shirt/p-mp000000018940487
Peter England,Peter England Pink Slim Fit Printed Shirt,₹1499.00,₹1999.00,0,0,https://www.tatacliq.com/peter-england-pink-slim-fit-printed-shirt/p-mp000000018207503
