Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL 
Vark,Vark by Westside Purple Nature Printed Kurta with Palazzos Set,₹2299.00,₹2299.00,2.0,1,https://www.tatacliq.com/vark-by-westside-purple-nature-printed-kurta-with-palazzos-set/p-mp000000019790959
Yufta,Yufta Blue Cotton Embroidered Kurta Pant Set With Dupatta,₹2499.00,₹4999.00,0,0,https://www.tatacliq.com/yufta-blue-cotton-embroidered-kurta-pant-set-with-dupatta/p-mp000000019274117
Khushal K,Khushal K Red Embroidered Kurta With Palazzo & Dupatta,₹1634.70,₹5449.00,4.03,36,https://www.tatacliq.com/khushal-k-red-embroidered-kurta-with-palazzo-dupatta/p-mp000000018500067
Khushal K,Khushal K Yellow & Orange Printed Kurta Palazzo Set,₹1094.70,₹3649.00,5.0,1,https://www.tatacliq.com/khushal-k-yellow-orange-printed-kurta-palazzo-set/p-mp000000014319058
Rangita,Rangita Black Printed Kurta Palazzo Set,₹879.00,₹1599.00,4.24,25,https://www.tatacliq.com/rangita-black-floral-print-kurta-palazzo-set/p-mp000000015615162
Indo Era,Indo Era Green Embroidered Kurta Pant Set With Dupatta,₹1699.00,₹6999.00,0,0,https://www.tatacliq.com/indo-era-green-embroidered-kurta-pant-set-with-dupatta/p-mp000000019390590
Janasya,Janasya Orange Floral Print Kurta & Palazzo Set,₹989.00,₹3529.00,0,0,https://www.tatacliq.com/janasya-orange-floral-print-kurta-palazzo-set/p-mp000000019637819
Vark,"Vark by Westside Red Embroidered Kurta, Palazzos and Brocade Dupatta",₹3499.00,₹3499.00,4.67,3,https://www.tatacliq.com/vark-by-westside-red-embroidered-kurta-palazzos-and-brocade-dupatta/p-mp000000019563872
W,W Green Cotton Printed Kurta Pant Set,₹2499.00,₹2499.00,0,0,https://www.tatacliq.com/w-green-cotton-printed-kurta-pant-set/p-mp000000019626980
Yufta,Yufta Maroon Kurta Palazzo Set With Dupatta,₹1049.00,₹2999.00,3.66,44,https://www.tatacliq.com/yufta-maroon-kurta-palazzo-set-with-dupatta/p-mp000000008767310
Vark,"Vark by Westside Orange Embroidered Kurta, Palazzos and Brocade Dupatta",₹3499.00,₹3499.00,5.0,2,https://www.tatacliq.com/vark-by-westside-orange-embroidered-kurta-palazzos-and-brocade-dupatta/p-mp000000019563868
Juniper,Juniper Peach Floral Print Kurta & Palazzo Set With Mask,₹1529.00,₹3398.00,4.0,1,https://www.tatacliq.com/juniper-peach-cambric-mexican-print-straight-kurta-palazzo-set-with-mask/p-mp000000009370515
Anubhutee,Anubhutee Pink Printed Kurta Pant Set,₹879.00,₹3799.00,0,0,https://www.tatacliq.com/anubhutee-pink-printed-kurta-pant-set/p-mp000000019609033
Rangita,Rangita Blue Woven Pattern Kurta Pant Set,₹1399.00,₹3199.00,0,0,https://www.tatacliq.com/rangita-blue-woven-pattern-kurta-pant-set/p-mp000000019628556
